episode_run_time,first_air_date,networks,number_of_seasons,original_name,production_companies,firstStar,secondStar,thirdStar,writer,director,musician,genre1,genre2,createdBy,air_time,adaptation,year
90.0,2/14/2000,TRT 1,9,Bizim Evin Halleri,focus film,Beyhan Saran,Meral Niron,Emel Göksu,"tolga aydoğan, erkan birgören, ayşem özge yoldaş, aynur ulusoy",tülay eratalay,ali otyam,Family,Comedy,"osman baş, nilgün sağyaşar, erol uyanık, adil daldal",20,0.0,2000
40.0,8/12/2000 0:00,TRT 1,3,7 Numara,"trt,fora film",Şebnem Sönmez,Engin Alkan,Volkan Girgin,"ayça mutlugil, nuray uslu",sadullah celen,ali otyam,Comedy,Drama,oya yüce,20,0.0,2000
50.0,10/9/2000 0:00,TRT 1,2,Üzgünüm Leyla,"trt,fora film",Perran Kutman,Selçuk Yöntem,Çetin Tekindor,"gaye boralıoğlu , sertaç ergin , sertan ergin",taner akvardar,ali otyam,Family,Drama,sadık deveci,15.3,0.0,2000
30.0,3/3/1999,TRT 1,5,Ayrılsak da Beraberiz,mint production,Hakan Yılmaz,Janset,Necmi Yapıcı,"murat aras,nilüfer yenidoğan,caner güler,uğur yağcıoğlu",sibel kocataş,ali otyam,sit-com,Family,birol güven,20,0.0,1999
50.0,1/1/1999 0:00,TGRT,1,Aşkın Dağlarda Gezer,mint production,Ayşe Tolga,Özcan Deniz,Şevval Sam,ahmet yurdakul,zeliha deniz ergin,ali otyam,Drama,Action & Adventure,mahmut yılmaz,20,0.0,1999
60.0,1/1/1999 0:00,atv,4,Deli Yürek,sinegraf,Kenan İmirzalıoğlu,Zeynep Tokuş,Melda Bekcan,"ömer lütfi mete, raci şaşmaz, bahadır özdener, güliz kucur",osman sınav,"bora ebeoğlu, cengiz onural",Drama,Action & Adventure,mustafa şevki doğan,21,0.0,1999
55.0,9/15/1999 0:00,Show TV,6,Sıdıka,limon film,Feridun Koç,Açelya Akkoyun,Hasibe Eren,atilla atalay,mahire ergun,atilla atalay,Comedy,Family,atilla atalay,12.3,0.0,1999
52.0,10/7/1999 0:00,Kanal D,3,Yılan Hikayesi,yağmur ajans,Meltem Cumbul,Mehmet Ali Alabora,Ayten Gökçer,tayfun güneyer,nihat durak,ali otyam,Drama,Comedy,osman yağmurdereli,21.3,0.0,1999
45.0,7/4/1998 0:00,Kanal D,5,Ruhsar,ans production,Mihrace Yeken,Güneş Berberoğlu,Günyol Bakoğlu,"gani müjde, fatih solmaz",ümmü burhan,"i̇brahim erkal,volkan gücer",Comedy,Sci-Fi & Fantasy,abdullah oğuz,18.3,0.0,1998
50.0,3/10/1998,Kanal D,2,Eyvah Babam,doku film,Haluk Bilginer,Yıldız Asyalı,Yeşim Küçük,ünal küpeli,ünal küpeli,"i̇brahim erkal,volkan gücer",Comedy,Family,Unknown,20,0.0,1998
