episode_run_time,first_air_date,networks,number_of_seasons,original_name,production_companies,firstStar,secondStar,thirdStar,writer,director,musician,genre1,genre2,createdBy,air_time,adaptation
105,9/28/2009 0:00,atv,2,Ezel,Ay Yapım,Kenan İmirzalıoğlu,Cansu Dere,Yiğit Özşener,"Kerem Deren ,","Uluç Bayraktar ,",Toygar Işıklı,Crime,Drama,Uluç Bayraktar,20,1
90,9/4/2009 0:00,Kanal D,2,Hanımın Çiftliği,Gold Film,Özgü Namal,Mehmet Aslantuğ,Caner Cindoruk,"Zülküf Yücel,",Faruk Teber,"Mazlum Çimen,Saki Çimen",Drama,Romantic,Faruk Turgut,20,1
90,8/25/2009 0:00,FOX,2,Ömre Bedel,Gold Film,Murat Han,Begüm Birgören,Mehmet Ali Nuroğlu,"Deniz Akçay,Onur Uğraş,Armağan Gülşahin",,,Drama,Romantic,Faruk Turgut,22,0
90,5/25/2009 0:00,Kanal D,2,Bir Bulut Olsam,Tims Productions,Melisa Sözen,Engin Akyurek,Engin Altan Düzyatan,"Meral Okay ,","Ulaş İnan İnanç ,","Aytekin Ataş ,",Drama,,Timur Savcı,21,0
90,1/1/2009 0:00,Show TV,2,Melekler Korusun,Tims Productions,Hümeyra Akbay,Avni Yalçin,Rojda Demirer,"Eylem Canpolat, Sema Ergenekon","Cevriye Demir, ",,Comedy,Drama,Timur Savcı,20,0
90,11/7/2008 0:00,atv,3,Adanalı,Kuzey Production,Mehmet Akif Alakurt,Oktay Kaynarca,Selin Demiratar,"Tayfun Güneyer ,","Tayfun Güneyer ,",,Action & Adventure,Crime,Tayfun Güneyer,20,0
30,10/2/2008 0:00,Turkmax,8,1 Kadın 1 Erkek,"Ortaks Yapim,Avanti Groupe",Emre Karayel,Demet Evgar,,"Guy A. Lepage , Meriç Acemi, Aysin Akbulut, Itir Arda, Evrim Aytas, Murat Disli, Ali Ercivan",Müge Turali,Cagri Ayyildiz,Comedy,Soap,Mehmet Altioklar,15,1
84,9/4/2008 0:00,Kanal D,2,Aşk-ı Memnu,Ay Yapım,Selçuk Yöntem,Nebahat Cehre,Beren Saat,"Ece Yörenç ,Melek Gençoglu ,","Hilal Saral ,","Toygar Işıklı ,",Drama,Romantic,Kerem Çatay,20,1
100,1/1/2008 0:00,Star TV,1,Son Bahar,Gold Film,Ahmet Mümtaz Taylan,Erkan Petekkaya,Ayça Varlıer,Melih Cam,Adnan Güler,Kıraç,Family,Drama,Faruk Turgut,,0
90,10/26/2007 0:00,Kanal D,2,Asi,aSis Yapım,Tuncel Kurtiz,Cemal Hünal,Tuba Büyüküstün,Sebnem Çitak,"Cevdet Mercan ,",Nail Yurtsever,Drama,Romantic,Tomris Giritlioglu,,0
80,9/2/2007 0:00,Show TV,2,Dudaktan Kalbe,Ay Yapım,Özge Özder,Aslı Tandoğan,Yiğit Özşener,"Ece Yörenç, Melek Gençoğlu","Andaç Haznedaroğlu,","Toygar Işıklı,",Drama,Romantic,Kerem Çatay,22,1
,6/2/2007 0:00,Show Tv,1,Hayat Apartmanı,Pastel Film,Ahmet Mümtaz Taylan,Köksal Çalık,Levent Ülgen,"Müfit Can Saçıntı , Yılmaz Okumuş , Caner Güler,","Hüdaverdi Yavuz , ",,Family,Comedy,Yaşar İlvur,,0
100,5/31/2007 0:00,Kanal D,5,Kavak Yelleri,Tims Productions,Aslı Enver,Daghan Kulegec,Ibrahim Kendirci,"Nükhet Bıçakçı ,Ekin Atalar ,Yılmaz Sahin ,","Taner Elhan ,",,Comedy,Drama,Timur Savcı,20,0
90,4/19/2007 0:00,Kanal D,10,Kurtlar Vadisi: Pusu,Pana Film,Muhammed Necati Şaşmaz,Kenan Çoban,Gürkan Uygun,,,"Gökhan Kırdar,",Action & Adventure,Drama,Raci Şaşmaz,20,0
90,11/7/2006 0:00,Kanal D,3,Binbir Gece,TMC,Halit Ergenç,Bergüzar Korel,Tardu Flordun,"Yıldız Tunç, Murat Lütfü, Mehmet Bilal, Ethem Yekta","Kudret Sabancı,",,Drama,Romantic,Erol Avcı,20,0
90,10/27/2006 0:00,atv,3,Hatırla Sevgili,aSis Yapım,Okan Yalabık,Cansel Elçin,Beren Saat,"Nilgün Öneş,",Ümmü Burhan,,Drama,History,Ilgaz Giritlioğlu,20,0
90,9/21/2006 0:00,atv,1,Ahh İstanbul,Gold Film,Tarık Akan,Suzan Aksoy,Ceyda Ateş,,Çağatay Tosun,Sezen Aksu,Drama,Family,Faruk Turgut,,0
90,9/15/2006 0:00,atv,3,Sıla,Fm Yapım,Fatoş Tez,Kartal Balaban,Hümeyra Akbay,"Muharrem Buhara,","Yasin Ünlü, ","Murat Tunali,Can Hatipoğlu",Drama,Mystery,Nezihe Dikilitaş,,0
